,mean,std,skew,kurt,max,min,h_mean_change,h_max_change,h_min_change,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,q1_std,q2_std,q3_std,q4_std,q5_std,q1_max,q2_max,q3_max,q4_max,q5_max,q1_min,q2_min,q3_min,q4_min,q5_min
0,576.6,637.6173644500876,1.8460241307418508,3.862409345045003,2492.0,3.0,629.0666666666666,1490.0,70.0,246.0,257.42857142857144,362.2857142857143,1168.857142857143,1528.0,423.76526521176794,163.0100785665896,261.2174791788854,608.2544502019498,1363.3018741276637,1002.0,464.0,705.0,2492.0,2492.0,3.0,63.0,73.0,600.0,564.0
1,1598.3666666666666,550.1538019019104,0.4300628647950775,-0.78542917559676,2570.0,662.0,-174.06666666666683,0.0,249.0,1800.7142857142858,1716.2857142857142,1116.4285714285713,1853.2857142857142,1272.0,468.46156522732804,617.4468166802477,297.21645150902907,571.2978540964758,84.8528137423857,2415.0,2570.0,1607.0,2570.0,1332.0,1102.0,801.0,662.0,1290.0,1212.0
2,516.6333333333333,394.1361119114102,0.5370059721245203,-1.2014809939553523,1212.0,70.0,-282.73333333333335,-75.0,23.0,1009.8571428571429,354.14285714285717,318.42857142857144,230.57142857142858,1054.0,211.3696829186789,275.3315749972679,106.49703774105195,254.0235272193353,117.37972567696688,1212.0,776.0,495.0,801.0,1137.0,620.0,70.0,181.0,93.0,971.0
3,1112.0333333333333,186.64820003073334,0.2898216738367733,0.6690550589022934,1607.0,751.0,-196.20000000000016,-395.0,-132.0,1244.142857142857,1175.857142857143,1097.7142857142858,1006.4285714285714,846.0,250.30210318162102,75.21176453062063,119.26680774034085,144.51627029837292,134.35028842544403,1607.0,1250.0,1212.0,1174.0,941.0,883.0,1034.0,911.0,801.0,751.0
4,1109.7333333333333,666.6490537903285,0.6568678650601291,0.20116189765479797,2735.0,80.0,217.0666666666666,320.0,560.0,795.0,1307.142857142857,1109.4285714285713,1300.5714285714287,853.5,505.51195172155263,885.3410696018849,616.3626792570689,698.6844440668136,301.9345955666558,1375.0,2415.0,2131.0,2735.0,1067.0,111.0,80.0,303.0,705.0,640.0
5,461.7,302.5472490885258,0.8849813432831218,-0.1604014911641638,1137.0,57.0,-215.66666666666663,35.0,-99.0,838.1428571428571,360.0,267.14285714285717,303.2857142857143,735.5,174.41275619578266,94.01063769595439,130.771338056712,237.70479891784143,567.8067452927977,1102.0,512.0,495.0,776.0,1137.0,620.0,239.0,100.0,57.0,334.0
6,520.0,275.7796471698074,1.867755066391235,6.042810273012577,1558.0,131.0,-31.200000000000045,-617.0,44.0,373.57142857142856,735.1428571428571,367.0,599.4285714285714,537.0,168.05342121168607,387.55620176151166,137.01216491003026,217.23555352263523,237.58787847867995,582.0,1558.0,545.0,941.0,705.0,131.0,449.0,175.0,264.0,369.0
7,86.76666666666667,87.1802268523258,1.8209629503223537,3.376300316369289,357.0,0.0,25.80000000000001,156.0,0.0,54.285714285714285,84.57142857142857,54.0,97.42857142857143,285.5,39.305276514798386,61.06514866069173,43.069710934716056,110.07097277492848,101.1162697096763,103.0,201.0,136.0,322.0,357.0,0.0,3.0,8.0,0.0,214.0
8,626.7666666666667,520.0983118824638,1.6039970896201317,3.150901869491887,2269.0,23.0,277.79999999999995,1132.0,-2.0,604.7142857142857,415.7142857142857,332.7142857142857,1176.5714285714287,547.5,390.61008447713954,319.8029154993818,251.44364132326902,693.0093450891932,74.24621202458749,1137.0,854.0,751.0,2269.0,600.0,83.0,25.0,23.0,529.0,495.0
9,398.23333333333335,238.5744564373307,0.5781367768186593,0.03416666838417726,971.0,8.0,-176.33333333333331,-60.0,-186.0,458.14285714285717,445.42857142857144,606.7142857142857,177.28571428571428,67.0,151.8501767877673,140.73243779462874,270.1997497443415,83.96371098221398,83.43860018001261,600.0,662.0,971.0,334.0,126.0,194.0,256.0,293.0,73.0,8.0
10,188.3,123.85980673381472,1.8095695054087855,4.090366523575845,620.0,48.0,133.79999999999998,397.0,15.0,119.42857142857143,127.0,197.85714285714286,329.7142857142857,115.5,42.99557009296478,58.72251129961434,79.33353341311305,162.84319071396496,74.24621202458749,194.0,223.0,313.0,620.0,168.0,76.0,48.0,96.0,151.0,63.0
11,601.0333333333333,364.9596560918928,-0.2626843638897434,-1.4128312032517918,1102.0,38.0,486.6,68.0,474.0,215.71428571428572,456.2857142857143,863.4285714285714,881.5714285714286,556.0,165.78773003021493,429.6912512823265,156.52034707225462,189.8252329054782,62.22539674441618,449.0,1034.0,1034.0,1102.0,600.0,47.0,38.0,662.0,545.0,512.0
12,606.0,378.8837507095338,0.45451348762858634,-0.7984366768926989,1375.0,86.0,-200.5333333333333,-238.0,-248.0,497.14285714285717,858.8571428571429,562.7142857142857,467.7142857142857,737.5,139.433889438004,357.9629536564869,508.3573920926479,398.8991995837688,245.36605307173198,705.0,1375.0,1137.0,1102.0,911.0,334.0,512.0,86.0,111.0,564.0
13,453.76666666666665,455.23723889655696,1.1225843568640872,0.8783698155764124,1767.0,15.0,-683.4000000000001,-1288.0,-126.0,827.8571428571429,856.5714285714286,76.42857142857143,101.71428571428571,287.5,304.9007644963787,465.19309866722983,65.85554176341108,56.97284231899232,270.82189719444773,1375.0,1767.0,194.0,181.0,479.0,512.0,283.0,15.0,38.0,96.0
14,695.6333333333333,768.3606589999586,1.0108452175068685,-0.3416614475691291,2570.0,3.0,919.8,1599.0,118.0,164.28571428571428,202.14285714285714,1646.857142857143,911.0,199.5,127.79503679161967,260.7415249958143,568.0919610331379,799.591353963594,103.94469683442249,381.0,751.0,2570.0,1824.0,273.0,30.0,3.0,971.0,121.0,126.0
15,1108.9333333333334,589.5869935713522,-0.3171466954716748,-0.8845168567931192,2066.0,45.0,537.8666666666666,184.0,896.0,350.85714285714283,1258.857142857143,1449.0,1369.142857142857,1136.5,297.0417639386918,656.6344565462656,293.0665453442272,388.906770563944,276.4787514439401,854.0,1882.0,1942.0,2066.0,1332.0,45.0,214.0,1067.0,971.0,941.0
16,1196.0,600.7401182334773,0.8827862036666834,0.2940270634887625,2821.0,495.0,-805.1999999999999,-1162.0,-34.0,1590.857142857143,1656.142857142857,1023.2857142857143,658.5714285714286,689.0,655.027843828395,531.6839376206597,343.6489072128288,124.64330058592151,274.35743110038044,2269.0,2821.0,1659.0,883.0,883.0,529.0,1332.0,620.0,529.0,495.0
